2428,P,Por,Sommer,Inter,18,15,3,18,15,3,84,84
5876,P,Por,Di Gregorio,Monza,18,12,6,18,12,6,50,50
453,P,Por,Szczesny,Juventus,17,15,2,17,15,2,84,84
133,P,Por,Skorupski,Bologna,16,10,6,16,10,6,37,37
2134,P,Por,Falcone,Lecce,15,8,7,15,8,7,30,30
2814,P,Por,Provedel,Lazio,15,16,-1,15,16,-1,60,60
2815,P,Por,Terracciano,Fiorentina,15,10,5,15,10,5,30,30
4270,P,Por,Rui Patricio,Roma,12,14,-2,12,14,-2,55,55
4957,P,Por,Montipo',Verona,12,7,5,12,7,5,13,13
509,P,Por,Consigli,Sassuolo,11,5,6,11,5,6,15,15
2170,P,Por,Milinkovic-Savic V.,Torino,11,10,1,11,10,1,35,35
572,P,Por,Meret,Napoli,10,17,-7,10,17,-7,62,62
2211,P,Por,Silvestri,Udinese,10,9,1,10,9,1,17,17
2792,P,Por,Musso,Atalanta,10,3,7,10,3,7,43,43
4867,P,Por,Turati,Frosinone,10,5,5,10,5,5,14,14
316,P,Por,Berisha,Empoli,9,1,8,9,1,8,12,12
5116,P,Por,Martinez Jo.,Genoa,9,8,1,9,8,1,21,21
4312,P,Por,Maignan,Milan,8,17,-9,8,17,-9,73,73
4431,P,Por,Carnesecchi,Atalanta,8,11,-3,8,11,-3,14,14
6120,P,Por,Ochoa,Salernitana,7,9,-2,7,9,-2,13,13
3,P,Por,Radunovic,Cagliari,4,8,-4,4,8,-4,10,10
4,P,Por,Sportiello,Milan,4,1,3,4,1,3,2,2
41,P,Por,Mirante,Milan,2,1,1,2,1,1,1,1
574,P,Por,Scuffet,Cagliari,2,1,1,2,1,1,1,1
610,P,Por,Gollini,Napoli,2,1,1,2,1,1,1,1
4360,P,Por,Caprile,Empoli,2,7,-5,2,7,-5,7,7
159,P,Por,Sepe,Lazio,1,1,0,1,1,0,1,1
188,P,Por,Leali,Genoa,1,1,0,1,1,0,1,1
217,P,Por,Lamanna,Monza,1,1,0,1,1,0,1,1
218,P,Por,Perin,Juventus,1,1,0,1,1,0,5,5
219,P,Por,Sommariva,Genoa,1,1,0,1,1,0,1,1
510,P,Por,Pegolo,Sassuolo,1,1,0,1,1,0,1,1
511,P,Por,Perilli,Verona,1,1,0,1,1,0,1,1
543,P,Por,Padelli,Udinese,1,1,0,1,1,0,1,1
673,P,Por,Perisan,Empoli,1,2,-1,1,2,-1,1,1
761,P,Por,Audero,Inter,1,1,0,1,1,0,1,1
1926,P,Por,Di Gennaro,Inter,1,1,0,1,1,0,1,1
1930,P,Por,Pinsoglio,Juventus,1,1,0,1,1,0,1,1
1946,P,Por,Aresti,Cagliari,1,1,0,1,1,0,1,1
1947,P,Por,Fiorillo,Salernitana,1,1,0,1,1,0,1,1
2178,P,Por,Cragno,Sassuolo,1,4,-3,1,4,-3,3,3
2294,P,Por,Cerofolini,Frosinone,1,1,0,1,1,0,1,1
2297,P,Por,Rossi F.,Atalanta,1,1,0,1,1,0,1,1
2338,P,Por,Costil,Salernitana,1,1,0,1,1,0,1,1
2722,P,Por,Ravaglia F.,Bologna,1,1,0,1,1,0,1,1
2799,P,Por,Frattali,Frosinone,1,1,0,1,1,0,1,1
2845,P,Por,Contini,Napoli,1,1,0,1,1,0,1,1
4351,P,Por,Brancolini,Lecce,1,1,0,1,1,0,1,1
4491,P,Por,Berardi A.,Verona,1,1,0,1,1,0,1,1
4525,P,Por,Gemello,Torino,1,1,0,1,1,0,1,1
5304,P,Por,Boer,Roma,1,1,0,1,1,0,1,1
5822,P,Por,Bagnolini,Bologna,1,1,0,1,1,0,1,1
5841,P,Por,Svilar,Roma,1,1,0,1,1,0,1,1
5853,P,Por,Sorrentino A.,Monza,1,1,0,1,1,0,1,1
6184,P,Por,Martinelli T.,Fiorentina,1,1,0,1,1,0,1,1
6210,P,Por,Popa,Torino,1,1,0,1,1,0,1,1
6234,P,Por,Stubljar,Empoli,1,1,0,1,1,0,1,1
6255,P,Por,Gori,Monza,1,1,0,1,1,0,1,1
6403,P,Por,Christensen O.,Fiorentina,1,3,-2,1,3,-2,3,3
6406,P,Por,Borbei,Lecce,1,1,0,1,1,0,1,1
6462,P,Por,Okoye,Udinese,1,1,0,1,1,0,1,1
6482,P,Por,Mandas,Lazio,1,1,0,1,1,0,1,1
6505,P,Por,Nava,Milan,1,1,0,1,1,0,1,1
6509,P,Por,Gasperini T.,Bologna,1,1,0,1,1,0,1,1
254,D,E,Dimarco,Inter,25,19,6,25,18,7,100,100
2816,D,Dd;E,Di Lorenzo,Napoli,20,18,2,20,18,2,87,87
5513,D,E,Dumfries,Inter,20,12,8,19,11,8,83,83
1852,D,E,Spinazzola,Roma,17,10,7,16,9,7,43,40
2724,D,Dc,Buongiorno,Torino,16,11,5,16,11,5,52,52
513,D,Dc,Acerbi,Inter,15,11,4,15,11,4,41,41
4751,D,Dc,Tomori,Milan,15,13,2,15,13,2,55,55
5323,D,Dc,Martinez Quarta,Fiorentina,15,6,9,15,6,9,28,28
2788,D,Dc,Bremer,Juventus,14,13,1,14,13,1,62,62
5877,D,E,Carlos Augusto,Inter,14,17,-3,14,17,-3,35,30
4237,D,Dd;Ds;Dc,Danilo,Juventus,13,15,-2,13,18,-5,35,45
6041,D,Dc,Schuurs,Torino,13,14,-1,13,14,-1,10,10
2525,D,Dd;Dc,Darmian,Inter,12,11,1,12,13,-1,35,40
2640,D,Ds;Dc,Kolasinac,Atalanta,12,9,3,12,10,2,30,35
4292,D,Ds;E,Hernandez T.,Milan,12,17,-5,12,17,-5,87,87
5354,D,Ds;E,Ruggeri,Atalanta,12,3,9,12,4,8,35,35
5365,D,Dd;Dc,Dragusin,Genoa,12,6,6,12,7,5,31,35
252,D,Ds;E,Biraghi,Fiorentina,11,10,1,11,10,1,27,27
322,D,Dc,De Vrij,Inter,11,6,5,11,6,5,18,18
357,D,Dd;E,Calabria,Milan,11,9,2,11,9,2,32,32
2252,D,Ds;Dc,Marchizza,Frosinone,11,5,6,11,6,5,23,28
4177,D,Dd;Dc,Pavard,Inter,11,14,-3,11,15,-4,35,40
4426,D,Dd;E,Toljan,Sassuolo,11,6,5,11,6,5,13,13
4530,D,Ds;E,Kyriakopoulos,Monza,11,9,2,11,9,2,33,33
5514,D,Ds;Dc,Vasquez,Genoa,11,4,7,11,5,6,11,11
5520,D,Dd;Ds;E,Cambiaso,Juventus,11,5,6,11,6,5,23,25
2296,D,Dc,Mancini,Roma,10,11,-1,10,11,-1,30,26
5750,D,Dc,Ostigard,Napoli,10,4,6,10,4,6,15,15
6066,D,Dd;Dc,Posch,Bologna,10,16,-6,10,18,-8,34,39
76,D,Dc,Romagnoli S.,Frosinone,9,5,4,9,5,4,10,10
460,D,Dc,Romagnoli,Lazio,9,13,-4,9,13,-4,39,39
487,D,Dd;E,De Silvestri,Bologna,9,2,7,9,2,7,8,8
554,D,E,Zappacosta,Atalanta,9,15,-6,8,14,-6,50,50
2120,D,Dc,Bastoni,Inter,9,13,-4,9,13,-4,39,39
2169,D,Ds;Dc,Rodriguez R.,Torino,9,8,1,9,9,0,17,20
4945,D,Ds;E,Calafiori,Bologna,9,4,5,9,4,5,14,4
4952,D,Dc,Monterisi,Frosinone,9,1,8,9,1,8,14,14
5526,D,Dc,Scalvini,Atalanta,9,9,0,9,9,0,34,34
5847,D,Dc,Bijol,Udinese,9,9,0,9,9,0,21,21
6148,D,Ds;E,Kristiansen,Bologna,9,6,3,9,6,3,24,24
6220,D,Dd;E,Kristensen,Roma,9,9,0,9,9,0,16,16
787,D,Dc,Djimsiti,Atalanta,8,7,1,8,7,1,17,20
